"nhs_trust22_code","date","general_acute_beds_available","general_acute_beds_occupied","general_acute_beds_occupancy_rate","adult_general_acute_beds_available","adult_general_acute_beds_occupied","adult_general_acute_beds_occupancy_rate","paediatric_general_acute_beds_available","paediatric_general_acute_beds_occupied","paediatric_general_acute_beds_occupancy_rate","adult_critical_care_beds_available","adult_critical_care_beds_occupied","adult_critical_care_occupancy_rate","paediatric_intensive_cared_beds_available","paediatric_intensive_cared_beds_occupied","paediatric_intensive_cared_occupancy_rate","neonatal_intensive_care_bed_available","neonatal_intensive_care_bed_occupied","neonatal_intensive_care_occupancy_rate"
"RJC","May 2022",430,383,0.891,413,371,0.898,17,12,0.712,7,4,0.63,0,0,NA,12,5,0.375
"RJE","May 2022",1304,1174,0.901,1252,1132,0.904,52,43,0.818,58,46,0.796,6,4,0.602,12,8,0.707
"RJL","May 2022",636,588,0.924,605,570,0.942,31,17,0.572,14,13,0.908,0,0,NA,27,16,0.595
"RJN","May 2022",350,328,0.939,335,320,0.955,15,9,0.574,6,3,0.581,0,0,NA,0,0,NA
"RJR","May 2022",433,421,0.973,411,408,0.993,22,13,0.601,15,13,0.879,0,0,NA,12,8,0.67
"RJZ","May 2022",1233,1194,0.968,1165,1127,0.968,68,66,0.977,123,115,0.934,15,12,0.811,48,45,0.936
"RK5","May 2022",621,586,0.942,595,567,0.953,26,18,0.698,12,9,0.721,0,0,0,10,5,0.487
"RK9","May 2022",1007,947,0.94,960,926,0.965,47,21,0.445,46,29,0.626,0,0,NA,15,13,0.895
"RKB","May 2022",1039,997,0.96,980,955,0.974,59,43,0.722,44,37,0.851,0,0,NA,27,19,0.697
"RKE","May 2022",239,233,0.974,224,220,0.982,15,13,0.858,10,10,0.943,0,0,NA,6,3,0.522
"RL1","May 2022",139,114,0.816,132,112,0.847,7,2,0.23,4,3,0.618,NA,NA,NA,NA,NA,NA
"RL4","May 2022",849,795,0.936,809,762,0.942,40,32,0.809,28,17,0.619,0,0,NA,14,13,0.963
"RLQ","May 2022",304,268,0.883,284,252,0.889,20,16,0.794,7,6,0.819,0,0,NA,3,1,0.344
