"hb19_code","date","year","month","specialty","waits_over_18_weeks_count","waits_over_18_weeks_percent"
"S08000016",2013-04-01,2013,"Apr","All Specialties",247,0.087650816181689
"S08000017",2013-04-01,2013,"Apr","All Specialties",150,0.0645716745587602
"S08000018",2013-04-01,2013,"Apr","All Specialties",668,0.091206990715456
"S08000019",2013-04-01,2013,"Apr","All Specialties",1185,0.21259418729817
"S08000020",2013-04-01,2013,"Apr","All Specialties",760,0.11022480058013
"S08000021",2013-04-01,2013,"Apr","All Specialties",2791,0.0930147303872561
"S08000022",2013-04-01,2013,"Apr","All Specialties",585,0.0850537947077641
"S08000023",2013-04-01,2013,"Apr","All Specialties",448,0.0531813865147198
"S08000024",2013-04-01,2013,"Apr","All Specialties",2190,0.138844861472136
"S08000025",2013-04-01,2013,"Apr","All Specialties",3,0.0191082802547773
"S08000026",2013-04-01,2013,"Apr","All Specialties",13,0.0271398747390396
"S08000027",2013-04-01,2013,"Apr","All Specialties",791,0.0793300571657808
"S08000028",2013-04-01,2013,"Apr","All Specialties",18,0.0427553444180524
"SB0801",2013-04-01,2013,"Apr","All Specialties",1,0.00694444444444442
"S08000015",2013-05-01,2013,"May","All Specialties",483,0.0713336287106781
"S08000016",2013-05-01,2013,"May","All Specialties",280,0.0834575260804767
"S08000017",2013-05-01,2013,"May","All Specialties",124,0.0516666666666665
"S08000018",2013-05-01,2013,"May","All Specialties",599,0.0756217649286708
"S08000019",2013-05-01,2013,"May","All Specialties",1009,0.172360778954561
"S08000020",2013-05-01,2013,"May","All Specialties",766,0.100380028829773
"S08000021",2013-05-01,2013,"May","All Specialties",2794,0.0960203450408964
"S08000022",2013-05-01,2013,"May","All Specialties",565,0.0755549612195775
"S08000023",2013-05-01,2013,"May","All Specialties",379,0.0396900198973714
"S08000024",2013-05-01,2013,"May","All Specialties",2384,0.14459877479226
"S08000025",2013-05-01,2013,"May","All Specialties",5,0.0274725274725275
"S08000026",2013-05-01,2013,"May","All Specialties",59,0.0868924889543446
"S08000027",2013-05-01,2013,"May","All Specialties",712,0.0659625717991476
"S08000028",2013-05-01,2013,"May","All Specialties",27,0.0483005366726296
"SB0801",2013-05-01,2013,"May","All Specialties",0,0
"S08000015",2013-06-01,2013,"Jun","All Specialties",455,0.0707840696950841
"S08000016",2013-06-01,2013,"Jun","All Specialties",200,0.0714796283059329
"S08000017",2013-06-01,2013,"Jun","All Specialties",81,0.0379213483146068
"S08000018",2013-06-01,2013,"Jun","All Specialties",553,0.0764445673209841
"S08000019",2013-06-01,2013,"Jun","All Specialties",852,0.152061395680885
"S08000020",2013-06-01,2013,"Jun","All Specialties",654,0.0927922814982977
"S08000021",2013-06-01,2013,"Jun","All Specialties",2407,0.0886588824634424
"S08000022",2013-06-01,2013,"Jun","All Specialties",507,0.0744930943285336
"S08000023",2013-06-01,2013,"Jun","All Specialties",449,0.0519375361480624
