"ltla21_name","ltla21_code","variable","value"
"Fermanagh and Omagh","N09000006","percent_65_and_over_0_hours",0.892289032980361
"Fermanagh and Omagh","N09000006","percent_65_and_over_1to19_hours",0.0338200307878901
"Fermanagh and Omagh","N09000006","percent_65_and_over_20to34_hours",0.0113355413537342
"Fermanagh and Omagh","N09000006","percent_65_and_over_35to49_hours",0.0109157064887811
"Fermanagh and Omagh","N09000006","percent_65_and_over_50plus_hours",0.0516396883892336
"Lisburn and Castlereagh","N09000007","total_5_and_over",140064
"Lisburn and Castlereagh","N09000007","count_5_and_over_0_hours",122197
"Lisburn and Castlereagh","N09000007","count_5_and_over_1to19_hours",9204
"Lisburn and Castlereagh","N09000007","count_5_and_over_20to34_hours",1857
"Lisburn and Castlereagh","N09000007","count_5_and_over_35to49_hours",1827
"Lisburn and Castlereagh","N09000007","count_5_and_over_50plus_hours",4979
"Lisburn and Castlereagh","N09000007","total_5to14_years",19357
"Lisburn and Castlereagh","N09000007","count_5to14_years_0_hours",19182
"Lisburn and Castlereagh","N09000007","count_5to14_years_1to19_hours",126
"Lisburn and Castlereagh","N09000007","count_5to14_years_20to34_hours",16
"Lisburn and Castlereagh","N09000007","count_5to14_years_35to49_hours",10
"Lisburn and Castlereagh","N09000007","count_5to14_years_50plus_hours",23
"Lisburn and Castlereagh","N09000007","total_15to39_years",44851
"Lisburn and Castlereagh","N09000007","count_15to39_years_0_hours",40949
"Lisburn and Castlereagh","N09000007","count_15to39_years_1to19_hours",1987
"Lisburn and Castlereagh","N09000007","count_15to39_years_20to34_hours",445
"Lisburn and Castlereagh","N09000007","count_15to39_years_35to49_hours",638
"Lisburn and Castlereagh","N09000007","count_15to39_years_50plus_hours",832
"Lisburn and Castlereagh","N09000007","total_40to64_years",49643
"Lisburn and Castlereagh","N09000007","count_40to64_years_0_hours",39061
"Lisburn and Castlereagh","N09000007","count_40to64_years_1to19_hours",6067
"Lisburn and Castlereagh","N09000007","count_40to64_years_20to34_hours",1083
"Lisburn and Castlereagh","N09000007","count_40to64_years_35to49_hours",982
"Lisburn and Castlereagh","N09000007","count_40to64_years_50plus_hours",2450
"Lisburn and Castlereagh","N09000007","total_65_and_over",26213
"Lisburn and Castlereagh","N09000007","count_65_and_over_0_hours",23005
"Lisburn and Castlereagh","N09000007","count_65_and_over_1to19_hours",1024
"Lisburn and Castlereagh","N09000007","count_65_and_over_20to34_hours",313
"Lisburn and Castlereagh","N09000007","count_65_and_over_35to49_hours",197
"Lisburn and Castlereagh","N09000007","count_65_and_over_50plus_hours",1674
"Lisburn and Castlereagh","N09000007","percent_5_and_over_0_hours",0.872436885994974
"Lisburn and Castlereagh","N09000007","percent_5_and_over_1to19_hours",0.0657128169979438
"Lisburn and Castlereagh","N09000007","percent_5_and_over_20to34_hours",0.0132582248115147
"Lisburn and Castlereagh","N09000007","percent_5_and_over_35to49_hours",0.0130440370116518
"Lisburn and Castlereagh","N09000007","percent_5_and_over_50plus_hours",0.0355480351839159
"Lisburn and Castlereagh","N09000007","percent_5to14_years_0_hours",0.990959342873379
"Lisburn and Castlereagh","N09000007","percent_5to14_years_1to19_hours",0.00650927313116702
"Lisburn and Castlereagh","N09000007","percent_5to14_years_20to34_hours",0.000826574365862479
"Lisburn and Castlereagh","N09000007","percent_5to14_years_35to49_hours",0.000516608978664049
