"stp20_nhs_code","date","year","month","completed","incomplete","new"
"QMF",2021-09-01,2021,"Sep",35156,216410,51282
"QMJ",2021-09-01,2021,"Sep",44958,252950,57094
"QMM",2021-09-01,2021,"Sep",21237,134098,29005
"QNC",2021-09-01,2021,"Sep",17007,97875,20813
"QNQ",2021-09-01,2021,"Sep",11113,62214,14905
"QNX",2021-09-01,2021,"Sep",42531,216423,50764
"QOC",2021-09-01,2021,"Sep",12137,66035,11990
"QOP",2021-09-01,2021,"Sep",78445,483513,95635
"QOQ",2021-09-01,2021,"Sep",44111,189433,50350
"QOX",2021-09-01,2021,"Sep",21646,105260,26301
"QPM",2021-09-01,2021,"Sep",12987,62615,16691
"QR1",2021-09-01,2021,"Sep",9934,75430,17183
"QRL",2021-09-01,2021,"Sep",42830,192795,48881
"QRV",2021-09-01,2021,"Sep",51191,235149,61983
"QSL",2021-09-01,2021,"Sep",9332,56031,12074
"QT1",2021-09-01,2021,"Sep",29579,128064,29796
"QT6",2021-09-01,2021,"Sep",10131,47283,13411
"QU9",2021-09-01,2021,"Sep",29739,174404,39152
"QUA",2021-09-01,2021,"Sep",34496,199561,49756
"QUE",2021-09-01,2021,"Sep",24790,136719,30912
"QUY",2021-09-01,2021,"Sep",23295,130280,26915
"QVV",2021-09-01,2021,"Sep",14880,89145,19949
"QWE",2021-09-01,2021,"Sep",39707,158878,49872
"QWO",2021-09-01,2021,"Sep",54336,265818,67920
"QWU",2021-09-01,2021,"Sep",18217,112688,25384
"QXU",2021-09-01,2021,"Sep",27462,112810,32757
"QYG",2021-09-01,2021,"Sep",63261,295373,75864
"QE1",2021-10-01,2021,"Oct",36564,198154,45898
"QF7",2021-10-01,2021,"Oct",42787,185590,48660
"QGH",2021-10-01,2021,"Oct",12461,95512,17148
"QH8",2021-10-01,2021,"Oct",28713,146165,37252
"QHG",2021-10-01,2021,"Oct",18849,112874,27961
"QHL",2021-10-01,2021,"Oct",28812,258530,38075
"QHM",2021-10-01,2021,"Oct",84852,380073,106633
"QJ2",2021-10-01,2021,"Oct",21589,132907,27729
"QJG",2021-10-01,2021,"Oct",20044,106097,25043
"QJK",2021-10-01,2021,"Oct",29335,205423,38476
"QJM",2021-10-01,2021,"Oct",8802,63629,11439
"QK1",2021-10-01,2021,"Oct",17014,131423,19432
"QKK",2021-10-01,2021,"Oct",54447,249617,67623
"QKS",2021-10-01,2021,"Oct",34424,198405,41628
"QM7",2021-10-01,2021,"Oct",25494,133251,30952
"QMF",2021-10-01,2021,"Oct",36521,216363,48374
